"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2023-01-12,"High","inactive",0,"Medium Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-13,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-14,"High","inactive",0,"Medium Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-01-15,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.07,"low"
2023-01-16,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.03,"low"
2023-01-17,"Very High","inactive",0,"Medium Rating",0,"Low Rating",0,"Low Rating",0.04,"low"
2023-01-18,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.06,"low"
2023-01-19,"Very High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.03,"low"
2023-01-20,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.03,"low"
2023-01-21,"Medium","inactive",0,"Medium Rating",0,"Low Rating",0,"Low Rating",0.04,"low"
2023-01-22,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.03,"low"
2023-01-23,"High","inactive",0,"Medium Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-01-24,"Medium","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-01-25,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-01-26,"High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2023-01-27,"High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2023-01-28,"High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2023-01-29,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-30,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-31,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
